type	timestamp	epoch	step	train_accuracy	predict_labels	actual_labels
train	20200410135515	6	7	0.98214287	[2 0 2 0 2 0 0 2]	[2 0 2 0 2 0 0 2]
train	20200410135525	6	8	0.96875	[0 2 2 2 0 2 2 2]	[0 2 2 2 1 2 2 2]
train	20200410135537	6	9	0.9722222	[2 2 1 0 0 2 1 1]	[2 2 1 0 0 2 1 1]
train	20200410135548	6	10	0.975	[2 0 2 2 2 0 2 2]	[2 0 2 2 2 0 2 2]
train	20200410135558	6	11	0.97727275	[0 2 2 2 0 2 1 1]	[0 2 2 2 0 2 1 1]
train	20200410135609	6	12	0.9791667	[0 0 2 0 0 2 2 0]	[0 0 2 0 0 2 2 0]
train	20200410135621	6	13	0.9807692	[2 2 1 2 1 2 2 2]	[2 2 1 2 1 2 2 2]
train	20200410135635	6	14	0.97321427	[1 1 0 1 1 1 2 2]	[1 1 0 1 1 1 2 1]
train	20200410135648	6	15	0.975	[0 2 2 2 0 2 2 1]	[0 2 2 2 0 2 2 1]
train	20200410135659	6	16	0.9765625	[1 2 2 0 2 0 2 2]	[1 2 2 0 2 0 2 2]
train	20200410135709	6	17	0.97794116	[0 0 2 0 2 1 2 2]	[0 0 2 0 2 1 2 2]
train	20200410135720	6	18	0.9722222	[2 1 2 2 0 0 2 0]	[2 0 2 2 0 0 2 0]
train	20200410135732	6	19	0.9736842	[2 1 1 0 2 0 2 2]	[2 1 1 0 2 0 2 2]
train	20200410135743	6	20	0.975	[1 2 0 2 0 1 2 2]	[1 2 0 2 0 1 2 2]
train	20200410135754	6	21	0.97619045	[0 2 0 2 2 2 2 2]	[0 2 0 2 2 2 2 2]
train	20200410135804	6	22	0.97727275	[2 2 0 0 1 2 0 0]	[2 2 0 0 1 2 0 0]
train	20200410135815	6	23	0.9782609	[2 1 1 0 0 2 2 1]	[2 1 1 0 0 2 2 1]
train	20200410135826	6	24	0.9739583	[1 1 1 1 2 0 1 1]	[1 1 1 1 2 1 1 1]
